AnimalID,FatherDiet,OffspringDiet,Exercise,SREBF1,PPARa,FASN,ACOX1,ALT,AST,pre_FBS,post_FBS,Insulin
F1,Normal,Normal,NO,0.8888427,1.9480085,0.8133792,0.8133792,46,267,82,83,1.1
F2,Normal,Normal,NO,1.4044449,1.174462,1.2074806,1.2074806,43,229,82,73,1.24
F3,Normal,Normal,NO,0.8179021,0.842063,1.4063932,0.7031966,39,222,88,95,1.02
F4,Normal,Normal,NO,0.7422618,0.7641883,0.6381644,1.2763288,47,212,73,82,1.4
F5,Normal,Normal,NO,1.3195079,0.6792431,1.1344555,1.1344555,51,203,85,88,0.92
F6,Normal,HighFat,NO,4.4076205,1.1344555,1.8947401,0.9473701,70,419,83,121,1.9
F7,Normal,HighFat,NO,1.2834259,1.3213384,1.1034337,0.5517169,65,431,90,105,1.87
F8,Normal,HighFat,NO,2.7132087,1.3966785,4.6653975,1.1663494,79,371,83,128,2.15
F9,Normal,HighFat,NO,2.3949574,1.2328523,1.0295401,0.51477,62,349,91,116,1.78
F10,Normal,HighFat,NO,1.9453099,1.0013873,1.6724928,0.0522654,81,429,82,115,1.83
F11,Normal,Normal,YES,0.882703,1.8175562,1.5178193,1.5178193,47,279,75,95,1.097
F12,Normal,Normal,YES,0.8705506,1.4559895,1.2158793,2.4317586,50,227,72,91,1.34
F13,Normal,Normal,YES,1.3379276,1.8947401,0.6426032,2.5704127,41,271,80,81,1.15
F14,Normal,Normal,YES,0.4965462,3.0994237,0.7966401,1.5932802,50,209,78,76,1.52
F15,Normal,Normal,YES,0.3789291,3.2535168,0.6792431,1.3584863,48,251,78,69,1.19
F16,Normal,HighFat,YES,3.1601652,1.6267584,2.7169726,0.6792431,56,374,71,113,1.6
F17,Normal,HighFat,YES,1.986185,2.0448571,3.4152709,1.7076354,49,329,73,103,1.76
F18,Normal,HighFat,YES,1.3851095,4.730524,1.9752017,0.9876009,64,317,79,103,1.56
F19,Normal,HighFat,YES,4.4076205,2.6610581,1.1111087,2.2222175,61,297,84,107,1.81
F20,Normal,HighFat,YES,1.3947437,1.4359445,1.1991399,2.3982798,48,290,92,105,1.42
F21,HighFat,Normal,NO,0.9862327,2.0307322,1.6958399,0.42396,72,451,121,131,2.1
F22,HighFat,Normal,NO,0.8950251,1.8429284,3.0780144,0.7695036,84,372,110,107,1.98
F23,HighFat,Normal,NO,1.0281138,2.1169688,3.5357101,1.7678551,89,391,102,113,2.38
F24,HighFat,Normal,NO,1.0867349,2.2376742,1.8686547,0.9343273,72,459,108,128,2.5
F25,HighFat,Normal,NO,0.6113201,1.0882424,2.1023458,1.486583,74,365,114,107,1.92
F26,HighFat,HighFat,NO,0.4444213,0.4575496,3.056753,0.3820941,95,510,124,142,2.6
F27,HighFat,HighFat,NO,0.1947911,0.8021812,2.6795672,0.167473,89,533,116,143,2.44
F28,HighFat,HighFat,NO,0.6155722,0.3168781,1.0584844,0.5292422,96,501,119,165,2.5
F29,HighFat,HighFat,NO,0.3275984,0.6745513,4.5064769,0.2816548,91,519,124,156,2.88
F30,HighFat,HighFat,NO,0.9930925,0.4870021,2.7169726,0.7856725,84,573,135,167,2.66
F31,HighFat,Normal,YES,0.8408964,1.7314731,1.4459323,1.4459323,79,433,119,85,1.9
F32,HighFat,Normal,YES,1.6586391,0.8538177,1.4260257,0.7130129,70,419,110,105,1.88
F33,HighFat,Normal,YES,0.9201877,1.8947401,1.5822746,0.7911373,61,361,106,107,2.17
F34,HighFat,Normal,YES,0.7022224,2.8918646,2.4149612,1.2074806,64,341,105,100,2.29
F35,HighFat,Normal,YES,0.6506709,1.1266192,0.9214642,0.9150992,69,422,105,86,1.76
F36,HighFat,HighFat,YES,0.3253355,0.3213016,1.182631,0.7856725,68,480,125,120,2.3
F37,HighFat,HighFat,YES,0.6029039,0.6207137,2.0734022,0.3190822,69,391,121,109,2
F38,HighFat,HighFat,YES,0.5703819,0.587231,1.961558,0.6935155,79,425,105,112,2.1
F39,HighFat,HighFat,YES,0.2660925,0.9343273,3.1209819,0.7802455,71,444,109,125,2.38
F40,HighFat,HighFat,YES,0.5471469,0.587231,1.6841259,1.1908568,61,464,115,108,2.26
